time,id,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,speed,heading_angle,turn_rate,acceleration,Team_id,Intent_id
0.1,1,-4833.5,3677.23,3493.73,0,0,0,0,0,0,0,1,4
0.1,2,-2642.26,3856.21,2554.72,0,0,0,0,0,0,0,1,4
0.1,3,-1858.62,1567.68,2968.16,0,0,0,0,0,0,0,1,4
0.1,4,2631.2,-2797.84,2506.64,0,0,0,0,0,0,0,2,1
0.1,5,2651.4,-4037,1430.85,0,0,0,0,0,0,0,2,1
0.1,6,2784.66,-1502.07,1231.09,0,0,0,0,0,0,0,2,1
0.1,7,2080.15,-3087.5,1219.49,0,0,0,0,0,0,0,2,1
0.1,8,3840.99,3656.23,860.73,0,0,0,0,0,0,0,3,2
0.1,9,3558.62,2120.12,2711.76,0,0,0,0,0,0,0,3,2
0.1,10,3327.1,52.13,2388.8,0,0,0,0,0,0,0,3,2
0.1,11,3951.48,910.27,3364.63,0,0,0,0,0,0,0,3,2
0.1,12,4949.95,4831.77,1980.68,0,0,0,0,0,0,0,4,5
0.1,13,1798.29,4769.34,2581.64,0,0,0,0,0,0,0,4,5
0.1,14,3576.26,2388.18,2092.42,0,0,0,0,0,0,0,4,5
0.2,1,-4833.5,3677.73,3493.73,1.11E-15,5,0,5,1.570796327,15.70796327,50,1,4
0.2,2,-2642.26,3855.71,2554.72,-1.11E-15,-5,0,5,-1.570796327,-15.70796327,50,1,4
0.2,3,-1858.62,1567.18,2968.16,-1.11E-15,-5,0,5,-1.570796327,-15.70796327,50,1,4
0.2,4,2628.7,-2797.84,2506.64,-25,3.06E-15,0,25,3.141592654,31.41592654,250,2,1
0.2,5,2649.4,-4037,1430.85,-20,2.45E-15,0,20,3.141592654,31.41592654,200,2,1
0.2,6,2782.66,-1502.07,1231.09,-20,2.45E-15,0,20,3.141592654,31.41592654,200,2,1
0.2,7,2077.15,-3087.5,1219.49,-30,3.67E-15,0,30,3.141592654,31.41592654,300,2,1
0.2,8,3836.99,3656.23,860.73,-40,4.90E-15,0,40,3.141592654,31.41592654,400,3,2
0.2,9,3554.62,2120.12,2711.76,-40,4.90E-15,0,40,3.141592654,31.41592654,400,3,2
0.2,10,3323.1,52.13,2388.8,-40,4.90E-15,0,40,3.141592654,31.41592654,400,3,2
0.2,11,3947.48,910.27,3364.63,-40,4.90E-15,0,40,3.141592654,31.41592654,400,3,2
0.2,12,4949.85,4831.77,1980.68,-1,1.22E-16,0,1,3.141592654,31.41592654,10,4,5
0.2,13,1798.19,4769.34,2581.64,-1,1.22E-16,0,1,3.141592654,31.41592654,10,4,5
0.2,14,3576.16,2388.18,2092.42,-1,1.22E-16,0,1,3.141592654,31.41592654,10,4,5
0.3,1,-4833.5,3678.23,3493.73,1.11E-15,5,0,5,1.570796327,0,0,1,4
0.3,2,-2642.26,3855.21,2554.72,-1.11E-15,-5,0,5,-1.570796327,0,0,1,4
0.3,3,-1858.62,1566.68,2968.16,-1.11E-15,-5,0,5,-1.570796327,0,0,1,4
0.3,4,2626.2,-2797.84,2506.64,-25,3.06E-15,0,25,3.141592654,0,0,2,1
0.3,5,2647.4,-4037,1430.85,-20,2.45E-15,0,20,3.141592654,0,0,2,1
0.3,6,2780.66,-1502.07,1231.09,-20,2.45E-15,0,20,3.141592654,0,0,2,1
0.3,7,2074.15,-3087.5,1219.49,-30,3.67E-15,0,30,3.141592654,0,0,2,1
0.3,8,3832.99,3656.23,860.73,-40,4.90E-15,0,40,3.141592654,0,0,3,2
0.3,9,3550.62,2120.12,2711.76,-40,4.90E-15,0,40,3.141592654,0,0,3,2
0.3,10,3319.1,52.13,2388.8,-40,4.90E-15,0,40,3.141592654,0,0,3,2
0.3,11,3943.48,910.27,3364.63,-40,4.90E-15,0,40,3.141592654,0,0,3,2
0.3,12,4949.75,4831.77,1980.68,-1,1.22E-16,0,1,3.141592654,0,0,4,5
0.3,13,1798.09,4769.34,2581.64,-1,1.22E-16,0,1,3.141592654,0,0,4,5
0.3,14,3576.06,2388.18,2092.42,-1,1.22E-16,0,1,3.141592654,0,0,4,5
0.4,1,-4833.499951,3678.677192,3493.73,0.000988239,4.471920984,9.96E-07,4.471921093,1.570575339,-0.002209876,-5.280789068,1,4
0.4,2,-2642.259965,3854.768898,2554.72,0.000693319,-4.411018534,4.90E-07,4.411018588,-1.570639148,0.001571789,-5.889814115,1,4
0.4,3,-1858.619988,1566.239873,2968.16,0.000247989,-4.40126766,6.27E-08,4.401267667,-1.570739982,0.000563449,-5.98732333,1,4
0.4,4,2623.973882,-2797.839989,2506.64,-22.26117942,0.000214815,4.70E-08,22.26117942,3.141583004,-9.65E-05,-27.38820579,2,1
0.4,5,2645.616878,-4036.999989,1430.85,-17.83121734,0.000215066,4.71E-08,17.83121734,3.141580592,-0.000120612,-21.68782659,2,1
0.4,6,2778.875494,-1502.069994,1231.09,-17.84506163,0.00011926,1.45E-08,17.84506163,3.141585971,-6.68E-05,-21.5493837,2,1
0.4,7,2071.475,-3087.5,1219.49,-26.75,7.98E-14,-4.78E-11,26.75,3.141592654,-2.66E-14,-32.5,2,1
0.4,8,3829.425495,3656.229997,860.73,-35.64505505,-5.97E-05,3.67E-09,35.64505505,-3.141590979,1.67E-05,-43.5494495,3,2
0.4,9,3547.05688,2120.119995,2711.76,-35.63119593,-0.000107627,1.18E-08,35.63119593,-3.141589633,3.02E-05,-43.6880407,3,2
0.4,10,3315.538884,52.12999329,2388.8,-35.61115941,-0.000134284,1.84E-08,35.61115941,-3.141588883,3.77E-05,-43.8884059,3,2
0.4,11,3939.921109,910.2699933,3364.63,-35.58890734,-0.000134368,1.84E-08,35.58890734,-3.141588878,3.78E-05,-44.1109266,3,2
0.4,12,4949.664029,4831.769777,1980.680001,-0.859703144,-0.00446215,2.03E-05,0.859714724,-3.136402362,0.051902915,-1.402852758,4,5
0.4,13,1798.005477,4769.339874,2581.64,-0.845226259,-0.002518164,6.46E-06,0.84523001,-3.138613384,0.029792692,-1.547699898,4,5
0.4,14,3575.976,2388.18,2092.42,-0.84,-1.39E-12,-1.05E-11,0.84,-3.141592654,1.65E-11,-1.6,4,5
0.5,1,-4833.499714,3679.07717,3493.730001,0.003850994,3.999773349,8.97E-06,3.999775203,1.569833524,-0.007418152,-4.721458903,1,4
0.5,2,-2642.259799,3854.380486,2554.72,0.002715073,-3.884121598,4.51E-06,3.884122547,-1.570097308,0.005418395,-5.268960415,1,4
0.5,3,-1858.619928,1565.85333,2968.16,0.000971942,-3.865433189,5.80E-07,3.865433311,-1.570544882,0.001950996,-5.358343558,1,4
0.5,4,2621.992877,-2797.839938,2506.64,-19.81005008,0.000842195,4.32E-07,19.8100501,3.14155014,-0.000328638,-24.51129323,2,1
0.5,5,2644.027853,-4036.999938,1430.85,-15.89024901,0.000842568,4.32E-07,15.89024903,3.141539629,-0.00040963,-19.40968309,2,1
0.5,6,2777.283852,-1502.069965,1231.09,-15.9164201,0.000467098,1.33E-07,15.91642011,3.141563307,-0.000226638,-19.28641524,2,1
0.5,7,2069.090875,-3087.5,1219.49,-23.84125,1.49E-13,-5.17E-11,23.84125,3.141592654,-3.55E-14,-29.0875,2,1
0.5,8,3826.250755,3656.229983,860.73,-31.74739352,-0.000234114,3.34E-08,31.74739352,-3.141585279,5.70E-05,-38.97661529,3,2
0.5,9,3543.884764,2120.119969,2711.76,-31.7211625,-0.000422082,1.09E-07,31.7211625,-3.141579348,0.000102854,-39.10033427,3,2
0.5,10,3312.370562,52.12996098,2388.8,-31.68321906,-0.000526729,1.69E-07,31.68321906,-3.141576029,0.00012854,-39.27940346,3,2
0.5,11,3936.757004,910.269961,3364.63,-31.64105152,-0.000527177,1.69E-07,31.64105152,-3.141575992,0.000128856,-39.47855816,3,2
0.5,12,4949.590415,4831.768724,1980.68001,-0.736023067,-0.017238208,0.000183537,0.736224928,-3.11817619,0.182261718,-1.234897962,4,5
0.5,13,1797.934742,4769.339279,2581.640003,-0.707315487,-0.009799795,6.03E-05,0.707383374,-3.127738626,0.10874758,-1.378466362,4,5
0.5,14,3575.90632,2388.18,2092.42,-0.6968,-3.59E-12,1.05E-11,0.6968,-3.141592654,3.50E-11,-1.432,4,5
0.6,1,-4833.499073,3679.435208,3493.730002,0.009368232,3.580378224,3.57E-05,3.58039048,1.568179785,-0.016537394,-4.193847225,1,4
0.6,2,-2642.259348,3854.038908,2554.720001,0.00663945,-3.415774729,1.84E-05,3.415781182,-1.568852568,0.012447402,-4.683413651,1,4
0.6,3,-1858.619767,1565.514441,2968.16,0.002378885,-3.388891322,2.38E-06,3.388892157,-1.570094361,0.004505209,-4.765411542,1,4
0.6,4,2620.229866,-2797.839797,2506.64,-17.63011491,0.002066329,1.77E-06,17.63011503,3.141475449,-0.00074691,-21.79935067,2,1
0.6,5,2642.61145,-4036.999797,1430.85,-14.16403106,0.002065364,1.76E-06,14.16403121,3.141446836,-0.000927933,-17.26217822,2,1
0.6,6,2775.863743,-1502.069887,1231.09,-14.20109274,0.001144647,5.40E-07,14.20109279,3.141512051,-0.000512558,-17.15327321,2,1
0.6,7,2066.965458,-3087.5,1219.49,-21.25416875,-1.17E-13,-4.28E-11,21.25416875,-3.141592654,1.18E-13,-25.8708125,2,1
0.6,8,3823.422677,3656.229943,860.73,-28.28077739,-0.000574602,1.37E-07,28.2807774,-3.141572336,0.000129435,-34.66616125,3,2
0.6,9,3541.060406,2120.119898,2711.76,-28.24357935,-0.001036098,4.44E-07,28.24357937,-3.141555969,0.000233784,-34.77583134,3,2
0.6,10,3309.551588,52.12987288,2388.8,-28.18973897,-0.001293261,6.93E-07,28.189739,-3.141546777,0.000292522,-34.93480065,3,2
0.6,11,3933.944018,910.2698728,3364.63,-28.12985869,-0.001294673,6.95E-07,28.12985872,-3.141546629,0.000293637,-35.11192805,3,2
0.6,12,4949.527577,4831.765934,1980.680046,-0.627699067,-0.041066089,0.00070848,0.629041369,-3.076262544,0.419136461,-1.071835587,4,5
0.6,13,1797.876194,4769.337697,2581.640015,-0.585233351,-0.023528311,0.000242337,0.585706168,-3.101410995,0.263276318,-1.216772059,4,5
