time,id,x,y,z,vx,vy,vz,yaw,pitch,roll,Team_id,Intent_id
0.1,1,1781.85,-2579.55,2879.7,0,0,0,3.141592654,0,0,1,1
0.1,2,1924.4,-1409.38,2958.33,0,0,0,3.141592654,0,0,1,1
0.1,3,1798.88,-3667.78,3103.21,0,0,0,3.141592654,0,0,1,1
0.1,4,965.77,-1752.17,2517.02,0,0,0,3.141592654,0,0,1,1
0.1,5,3373.8,4432.6,1709.13,0,0,0,3.141592654,0,0,2,2
0.1,16,4926.38,4403.05,2656.75,0,0,0,3.141592654,0,0,5,5
0.1,17,2497.44,4865.26,1860.86,0,0,0,3.141592654,0,0,5,5
0.1,15,3670.08,4467.07,2296.71,0,0,0,3.141592654,0,0,5,5
0.1,14,-4493.21,-961.82,2907.69,0,0,0,-1.570796327,0,0,4,4
0.1,13,-2876.06,-8.81,2897.89,0,0,0,-1.570796327,0,0,4,4
0.1,12,-2743.01,-2273.42,2489.7,0,0,0,1.570796327,0,0,4,4
0.1,11,3514.92,-2934.17,622.86,0,0,0,3.141592654,0,0,3,3
0.1,10,3617.56,-3569.22,903.38,0,0,0,3.141592654,0,0,3,3
0.1,9,3598.09,-2774.63,410.45,0,0,0,3.141592654,0,0,3,3
0.1,8,3298.46,2881.5,855.83,0,0,0,3.141592654,0,0,2,2
0.1,7,3270.87,3076.7,1267.29,0,0,0,3.141592654,0,0,2,2
0.1,6,3109.79,2934.4,1523.09,0,0,0,3.141592654,0,0,2,2
0.2,1,1779.35,-2579.55,2879.7,-25,3.06E-15,0,3.141592654,0,0,1,1
0.2,2,1922.4,-1409.38,2958.33,-20,2.45E-15,0,3.141592654,0,0,1,1
0.2,3,1796.88,-3667.78,3103.21,-20,2.45E-15,0,3.141592654,0,0,1,1
0.2,4,962.77,-1752.17,2517.02,-30,3.67E-15,0,3.141592654,0,0,1,1
0.2,5,3369.8,4432.6,1709.13,-40,4.90E-15,0,3.141592654,0,0,2,2
0.2,16,4926.28,4403.05,2656.75,-1,1.22E-16,0,3.141592654,0,0,5,5
0.2,17,2497.34,4865.26,1860.86,-1,1.22E-16,0,3.141592654,0,0,5,5
0.2,15,3669.98,4467.07,2296.71,-1,1.22E-16,0,3.141592654,0,0,5,5
0.2,14,-4493.21,-962.32,2907.69,-1.11E-15,-5,0,-1.570796327,0,0,4,4
0.2,13,-2876.06,-9.31,2897.89,-1.11E-15,-5,0,-1.570796327,0,0,4,4
0.2,12,-2743.01,-2272.92,2489.7,1.11E-15,5,0,1.570796327,0,0,4,4
0.2,11,3511.42,-2934.17,622.86,-35,4.29E-15,0,3.141592654,0,0,3,3
0.2,10,3614.56,-3569.22,903.38,-30,3.67E-15,0,3.141592654,0,0,3,3
0.2,9,3595.09,-2774.63,410.45,-30,3.67E-15,0,3.141592654,0,0,3,3
0.2,8,3294.46,2881.5,855.83,-40,4.90E-15,0,3.141592654,0,0,2,2
0.2,7,3266.87,3076.7,1267.29,-40,4.90E-15,0,3.141592654,0,0,2,2
0.2,6,3105.79,2934.4,1523.09,-40,4.90E-15,0,3.141592654,0,0,2,2
0.3,1,1776.85,-2579.55,2879.7,-25,3.06E-15,0,3.141592654,0,0,1,1
0.3,2,1920.4,-1409.38,2958.33,-20,2.45E-15,0,3.141592654,0,0,1,1
0.3,3,1794.88,-3667.78,3103.21,-20,2.45E-15,0,3.141592654,0,0,1,1
0.3,4,959.77,-1752.17,2517.02,-30,3.67E-15,0,3.141592654,0,0,1,1
0.3,5,3365.8,4432.6,1709.13,-40,4.90E-15,0,3.141592654,0,0,2,2
0.3,16,4926.18,4403.05,2656.75,-1,1.22E-16,0,3.141592654,0,0,5,5
0.3,17,2497.24,4865.26,1860.86,-1,1.22E-16,0,3.141592654,0,0,5,5
0.3,15,3669.88,4467.07,2296.71,-1,1.22E-16,0,3.141592654,0,0,5,5
0.3,14,-4493.21,-962.82,2907.69,-1.11E-15,-5,0,-1.570796327,0,0,4,4
0.3,13,-2876.06,-9.81,2897.89,-1.11E-15,-5,0,-1.570796327,0,0,4,4
0.3,12,-2743.01,-2272.42,2489.7,1.11E-15,5,0,1.570796327,0,0,4,4
0.3,11,3507.92,-2934.17,622.86,-35,4.29E-15,0,3.141592654,0,0,3,3
0.3,10,3611.56,-3569.22,903.38,-30,3.67E-15,0,3.141592654,0,0,3,3
0.3,9,3592.09,-2774.63,410.45,-30,3.67E-15,0,3.141592654,0,0,3,3
0.3,8,3290.46,2881.5,855.83,-40,4.90E-15,0,3.141592654,0,0,2,2
0.3,7,3262.87,3076.7,1267.29,-40,4.90E-15,0,3.141592654,0,0,2,2
0.3,6,3101.79,2934.4,1523.09,-40,4.90E-15,0,3.141592654,0,0,2,2
0.4,1,1774.629504,-2579.549995,2879.7,-22.20496215,9.58E-05,9.36E-09,3.141588337,-4.22E-10,-9.77E-05,1,1
0.4,2,1918.623113,-1409.379989,2958.33,-17.76886851,0.000215821,4.75E-08,3.141580508,-2.67E-09,-0.000220001,1,1
0.4,3,1793.101106,-3667.779987,3103.21,-17.78894074,0.00026882,7.36E-08,3.141577542,-4.14E-09,-0.000274027,1,1
0.4,4,957.0988829,-1752.169991,2517.02,-26.71117053,0.000179027,3.27E-08,3.141585951,-1.22E-09,-0.000182495,1,1
0.4,5,3362.23688,4432.600005,1709.13,-35.63119593,0.000107627,1.18E-08,3.141589633,-3.31E-10,-0.000109712,2,2
0.4,16,4926.094029,4403.050223,2656.750001,-0.859703144,0.00446215,2.03E-05,3.136402363,-2.36E-05,-0.004548547,5,5
0.4,17,2497.151978,4865.260272,1860.860002,-0.880207982,0.005435446,3.01E-05,3.135417548,-3.42E-05,-0.005540678,5,5
0.4,15,3669.795477,4467.070126,2296.71,-0.845226259,0.002518164,6.46E-06,3.138613384,-7.65E-06,-0.002566931,5,5
0.4,14,-4493.209945,-963.2650281,2907.69,0.001102201,-4.450280754,1.24E-06,-1.570548657,-2.78E-07,0.001123548,4,4
0.4,13,-2876.059951,-10.25719211,2897.89,0.000988239,-4.471920984,9.96E-07,-1.570575339,-2.23E-07,0.001007379,4,4
0.4,12,-2743.009965,-2271.978898,2489.7,0.000693319,4.411018534,4.90E-07,1.570639148,-1.11E-07,-0.000706747,4,4
